AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NNURSERY,NURSERY,ENURSERY,NSOD,SOD,ESOD,NTUNGLAS,TUNGLAS,FTUNGLAS,NTOTGRN,TOTGRN,FTOTGRN,NFLOWER,FLOWER,FFLOWER,NGRNVEG,GRNVEG,FGRNVEG,NGRNOTHR,GRNOTHR,FGRNOTHR,NMUSHRM,MUSHRM,FMUSHRM
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,Total area of nursery products - Farms Reporting,Total area of nursery products - Acres,Total area of nursery products - Hectares,Total area of sod grown for sale - Farms Reporting,Total area of sod grown for sale - Acres,Total area of sod grown for sale - Hectares,Total greenhouse area under glass - Farms Reporting,Total greenhouse area under glass - Sq feet,Total greenhouse area under glass - Sq metres,"Total area of greenhouse in use on May 14, 1996- Farms Reporting","Total area of greenhouse in use on May 14, 1996- Sq feet","Total area of greenhouse in use on May 14, 1996- Sq metres",Greenhouse flowers - Farms Reporting,Greenhouse flowers - Sq feet,Greenhouse flowers - Sq metres,Greenhouse vegetables - Farms Reporting,Greenhouse vegetables - Sq feet,Greenhouse vegetables - Sq metres,Other greenhouse products - Farms Reporting,Other greenhouse products - Sq feet,Other greenhouse products - Sq metres,Total growing area for mushrooms - Farms Reporting,Total growing area for mushrooms - Sq feet,Total growing area for mushrooms - Sq metres
110101034,1101034,11,1,1,34,Lot 45,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101039,1101039,11,1,1,39,Lot 47,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101042,1101042,11,1,1,42,Lot 41,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101046,1101046,11,1,1,46,Lot 40,19,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110101049,1101049,11,1,1,49,Lot 39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101051,1101051,11,1,1,51,Lot 38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088",13,27,11,1,x,x,26,"238,963","22,200",26,"237,091","22,026",18,"112,795","10,479",12,x,x,3,x,x,0,0,0
110202000,1102000,11,2,2,0,Queens County,"1,088",13,27,11,1,x,x,26,"238,963","22,200",26,"237,091","22,026",18,"112,795","10,479",12,x,x,3,x,x,0,0,0
110202001,1102001,11,2,2,1,Lot 62,16,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110202004,1102004,11,2,2,4,Lot 60,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202006,1102006,11,2,2,6,Lot 58,19,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110202008,1102008,11,2,2,8,Lot 57,49,1,x,x,0,0,0,3,"14,900","1,384",3,"13,028","1,210",0,0,0,2,x,x,1,x,x,0,0,0
110202009,1102009,11,2,2,9,Lot 50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202012,1102012,11,2,2,12,Lot 49,37,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110202014,1102014,11,2,2,14,Lot 48,64,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110202026,1102026,11,2,2,26,Lot 31,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202028,1102028,11,2,2,28,Lot 65,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202029,1102029,11,2,2,29,Lot 30,49,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110202031,1102031,11,2,2,31,Lot 29,50,1,x,x,0,0,0,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,0,0,0
110202036,1102036,11,2,2,36,Lot 67,69,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0
110202038,1102038,11,2,2,38,Lot 20,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202039,1102039,11,2,2,39,Lot 21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202040,1102040,11,2,2,40,Miltonvale Park,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202041,1102041,11,2,2,41,Lot 22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202042,1102042,11,2,2,42,Lot 23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202044,1102044,11,2,2,44,Lot 24,65,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0
110202049,1102049,11,2,2,49,Lot 33,75,1,x,x,1,x,x,3,x,x,3,x,x,3,x,x,2,x,x,0,0,0,0,0,0
110202052,1102052,11,2,2,52,Lot 34,59,0,0,0,0,0,0,3,"53,800","4,998",3,"53,800","4,998",2,x,x,1,x,x,0,0,0,0,0,0
110202054,1102054,11,2,2,54,Lot 35,32,2,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
110202056,1102056,11,2,2,56,Lot 36,39,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0
110202058,1102058,11,2,2,58,Lot 37,28,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202085,1102085,11,2,2,85,Cornwall,30,3,3,1,0,0,0,5,x,x,5,x,x,3,x,x,2,x,x,0,0,0,0,0,0
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,756,4,4,2,1,x,x,15,"86,648","8,050",15,"85,008","7,898",9,"31,630","2,939",8,"46,228","4,295",6,"7,150",664,1,x,x
110303000,1103000,11,3,3,0,Prince County,756,4,4,2,1,x,x,15,"86,648","8,050",15,"85,008","7,898",9,"31,630","2,939",8,"46,228","4,295",6,"7,150",664,1,x,x
110303001,1103001,11,3,3,1,Lot 28,46,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110303006,1103006,11,3,3,6,Lot 27,50,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0
110303009,1103009,11,3,3,9,Lot 26,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303011,1103011,11,3,3,11,Lot 25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303012,1103012,11,3,3,12,Lot 19,46,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
110303016,1103016,11,3,3,16,Lot 18,44,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
110303019,1103019,11,3,3,19,Lot 17,52,2,x,x,0,0,0,4,"57,170","5,311",4,"57,170","5,311",3,x,x,3,x,x,2,x,x,1,x,x
110303028,1103028,11,3,3,28,Lot 16,34,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0
110303031,1103031,11,3,3,31,Lot 14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303032,1103032,11,3,3,32,Lot 13,41,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110303034,1103034,11,3,3,34,Lot 12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303036,1103036,11,3,3,36,Lot 11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303041,1103041,11,3,3,41,Lot  6,42,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0
110303044,1103044,11,3,3,44,Lot  9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303046,1103046,11,3,3,46,Lot  8,35,1,x,x,0,0,0,2,x,x,2,x,x,0,0,0,1,x,x,1,x,x,0,0,0
110303048,1103048,11,3,3,48,Lot  7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303049,1103049,11,3,3,49,Lot  5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303051,1103051,11,3,3,51,Lot  4,49,1,x,x,0,0,0,2,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0
110303054,1103054,11,3,3,54,Lot  3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303056,1103056,11,3,3,56,Lot  2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303058,1103058,11,3,3,58,Lot  1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,"4,453",130,555,225,26,"2,963","1,199",249,"2,925,798","271,816",249,"2,900,947","269,507",177,"1,883,940","175,024",127,"714,349","66,365",51,"302,658","28,118",4,"29,467","2,738"
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,802,30,41,17,2,x,x,45,"224,862","20,890",45,"222,302","20,653",32,"166,872","15,503",20,x,x,13,x,x,1,x,x
120101000,1201000,12,1,1,0,Shelburne County,29,1,x,x,0,0,0,6,x,x,6,x,x,3,x,x,3,"1,360",126,2,x,x,0,0,0
120101006,1201006,12,1,1,6,Shelburne,29,1,x,x,0,0,0,6,x,x,6,x,x,3,x,x,3,"1,360",126,2,x,x,0,0,0
120102000,1202000,12,1,2,0,Yarmouth County,133,6,7,3,0,0,0,8,"47,206","4,386",8,"46,836","4,351",4,"23,910","2,221",6,"22,926","2,130",0,0,0,0,0,0
120102001,1202001,12,1,2,1,Argyle,36,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120102004,1202004,12,1,2,4,Yarmouth,97,4,x,x,0,0,0,8,"47,206","4,386",8,"46,836","4,351",4,"23,910","2,221",6,"22,926","2,130",0,0,0,0,0,0
120103000,1203000,12,1,3,0,Digby County,132,6,x,x,0,0,0,10,"44,956","4,177",10,"42,766","3,973",7,"28,072","2,608",5,"11,610","1,079",4,"3,084",287,0,0,0
120103001,1203001,12,1,3,1,Clare,80,2,x,x,0,0,0,5,"38,216","3,550",5,"37,616","3,495",4,x,x,2,x,x,2,x,x,0,0,0
120103004,1203004,12,1,3,4,Digby,52,4,4,2,0,0,0,5,"6,740",626,5,"5,150",478,3,x,x,3,x,x,2,x,x,0,0,0
120104000,1204000,12,1,4,0,Queens County,58,3,3,1,0,0,0,3,x,x,3,x,x,3,x,x,1,x,x,0,0,0,1,x,x
120104008,1204008,12,1,4,8,"Queens, Subd. B",58,3,3,1,0,0,0,3,x,x,3,x,x,3,x,x,1,x,x,0,0,0,1,x,x
120106000,1206000,12,1,6,0,Lunenburg County,450,14,24,10,2,x,x,18,"106,480","9,892",18,"106,480","9,892",15,"91,260","8,478",5,"5,210",484,7,"10,010",930,0,0,0
