HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NSOD,SOD,ESOD,NNURSERY,NURSERY,ENURSERY,NTOTGRN,TOTGRN,ETOTGRN,NTUNDGLAS,TUNDGLAS,ETUNDGLAS,NFLOWER,FLOWER,EFLOWER,NGRNVEG,GRNVEG,EGRNVEG,NGRNOTHER,GRNOTHER,EGRNOTHER,NMUSHRM,MUSHRM,EMUSHRM,NXMASAREA,XMASAREA,EXMASAREA,NVFTPROD,VFTPROD,NMAPLET,MAPLET
Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic identification,Total number of farms,Total area of sod under cultivation for sale - Farms reporting,Total area of sod under cultivation for sale - Acres,Total area of sod under cultivation for sale - Hectares,Total area of nursery products - Farms reporting,Total area of nursery products - Acres,Total area of nursery products - Hectares,"Total area of greenhouses in use on May 16, 2006 - Farms reporting","Total area of greenhouses in use on May 16, 2006 - Square feet","Total area of greenhouses in use on May 16, 2006 - Square metres","Total area under glass, plastic or other protection - Farms reporting","Total area under glass, plastic or other protection - Square feet","Total area under glass, plastic or other protection - Square metres",Greenhouse flowers - Farms reporting,Greenhouse flowers - Square feet,Greenhouse flowers - Square metres,Greenhouse vegetables - Farms reporting,Greenhouse vegetables - Square feet,Greenhouse vegetables - Square metres,Other greenhouse products - Farms reporting,Other greenhouse products - Square feet,Other greenhouse products - Square metres,Total growing area for mushrooms - Farms reporting,Total growing area for mushrooms - Square feet,Total growing area for mushrooms - Square metres,Total area of Christmas trees grown for sale - Farms reporting,Total area of Christmas trees grown for sale - Acres,Total area of Christmas trees grown for sale - Hectares,Sales of forest products in 2005 - Farms reporting,Sales of forest products in 2005 - Amount $,Taps on maple trees in 2006 - Farms reporting,Taps on maple trees in 2006 - Number
24,1,9,35,Sainte-Angäle-de-MÇrici,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"62,916",1,x
24,1,9,55,Saint-Octave-de-MÇtis,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"185,547",6,"6,100"
24,1,9,85,Sainte-Flavie,52,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,6,"33,870",1,x
24,1,9,92,Sainte-Luce,44,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,6,"46,195",2,x
24,1,10,0,Rimouski-Neigette,260,0,0,0,3,3,1,8,"140,969","13,096",8,"150,719","14,002",4,"128,757","11,962",4,x,x,2,x,x,0,0,0,2,x,x,86,"783,976",65,"561,750"
24,1,10,15,Saint-Narcisse-de-Rimouski,23,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,10,"186,659",9,"78,800"
24,1,10,43,Rimouski,103,0,0,0,3,3,1,5,"128,069","11,898",5,"137,819","12,804",3,x,x,2,x,x,2,x,x,0,0,0,1,x,x,36,"280,889",16,"134,500"
24,1,10,60,Saint-ValÇrien,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"70,185",3,"34,325"
24,1,10,65,Le Bic,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"33,116",3,"6,600"
24,1,10,70,Saint-Fabien,44,0,0,0,0,0,0,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,10,"51,672",12,"67,075"
24,1,10,75,Saint-Eugäne-de-Ladriäre,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,13,"161,455",22,"240,450"
24,1,11,0,Les Basques,211,0,0,0,2,x,x,4,"11,620","1,080",4,"11,660","1,083",2,x,x,3,x,x,0,0,0,0,0,0,1,x,x,78,"1,274,782",69,"770,746"
24,1,11,5,Saint-ClÇment,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"245,486",4,"26,000"
24,1,11,10,Saint-Jean-de-Dieu,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,20,"354,026",15,"108,200"
24,1,11,15,Sainte-Rita,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"178,463",26,"453,150"
24,1,11,30,Sainte-Franáoise,22,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,6,"120,994",12,"113,296"
24,1,11,35,Saint-êloi,23,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"142,809",0,0
24,1,11,45,Notre-Dame-des-Neiges,35,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,8,"102,825",3,"31,250"
24,1,11,55,Saint-Simon,29,0,0,0,0,0,0,2,x,x,2,x,x,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,10,"130,179",9,"38,850"
24,1,12,0,Riviäre-du-Loup,296,1,x,x,1,x,x,9,"251,738","23,387",10,"268,788","24,971",6,"77,838","7,231",4,x,x,4,x,x,0,0,0,2,x,x,64,"739,403",50,"318,596"
24,1,12,5,Saint-Cyprien,32,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,15,"356,855",21,"152,000"
24,1,12,10,Saint-Hubert-de-Riviäre-du-Loup,28,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,16,"137,330",9,"48,600"
24,1,12,15,Saint-Antonin,34,1,x,x,0,0,0,3,"19,694","1,830",3,"19,694","1,830",2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,6,"9,631",4,"33,000"
24,1,12,30,Saint-êpiphane,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,11,"137,644",3,x
24,1,12,43,L'Isle-Verte,48,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,8,"52,530",0,0
24,1,12,60,Saint-Georges-de-Cacouna,29,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,2,x
24,1,12,65,Saint-Arsäne,51,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,4,"25,843",4,"15,375"
24,1,12,72,Riviäre-du-Loup,33,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,2,x,7,"58,000"
24,1,13,0,TÇmiscouata,393,0,0,0,2,x,x,8,"71,162","6,611",8,"71,162","6,611",7,"54,987","5,108",6,"16,175","1,503",0,0,0,0,0,0,2,x,x,132,"1,947,640",245,"4,216,761"
24,1,13,5,DÇgelis,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"285,177",24,"350,330"
24,1,13,25,Riviäre-Bleue,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"209,991",26,"362,439"
24,1,13,30,Saint-Eusäbe,25,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,5,"107,393",15,x
24,1,13,35,Notre-Dame-du-Lac,28,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,7,"70,630",7,"158,500"
24,1,13,45,Auclair,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"165,563",30,"970,600"
24,1,13,50,Lejeune,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,x,18,"236,807"
24,1,13,55,Biencourt,41,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"318,478",34,"454,325"
24,1,13,65,Saint-Michel-du-Squatec,44,0,0,0,0,0,0,3,"20,850","1,937",3,"20,850","1,937",3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,15,"136,717",27,"405,200"
24,1,13,70,Cabano,28,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,10,"269,019",13,"204,880"
24,1,13,80,Saint-Louis-du-Ha! Ha!,20,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x,6,"93,986",1,x
24,1,13,95,PohÇnÇgamook,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"210,798",31,"525,880"
